,TIC monthly reports on Cross-Border Portfolio Financial Flows through June 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-Apr,2444925,2454912,-9987,-27961,-29479,-2358,-8170,12046,17974,18890,276,-340,-852,778612,807154,-28542,-542,-28000,-38529,-9742,-48271,-15588,-41628,-22243,-19385,26040,24364,1676,206182,142323,120834,21489
2014-Mar,2542624,2529678,12946,6531,17796,-7213,6022,-10074,6415,12058,-1391,940,-5192,813841,870046,-56205,1205,-57410,-43259,53341,10082,-1512,9848,14546,-4698,-11360,-10662,-698,-108659,-100089,-93312,-6778
2014-Feb,2226738,2137723,89015,70547,73879,-946,-1546,-840,18468,16576,2451,-511,-48,690420,691882,-1462,46,-1508,87553,-10208,77345,5484,2718,8257,-5539,2766,1238,1528,77049,159878,135070,24808
2014-Jan,2350871,2369304,-18433,-1896,12087,-3793,-4928,-5262,-16537,-16674,527,43,-433,773384,753122,20262,32846,-12584,1829,-9190,-7361,8417,-8766,-4355,-4411,17183,15677,1506,91608,92664,121504,-28840
2013-Dec,2047572,2066181,-18609,-1669,28614,-8770,-7409,-14104,-16940,-11761,-5112,477,-544,588234,617625,-29391,-10153,-19238,-48000,-24620,-72620,-8150,34270,20001,14269,-42420,-42212,-208,-64093,-144864,-150328,5464
2013-Nov,2078715,2087850,-9135,-19302,-10331,-1026,-2628,-5317,10167,10208,1721,845,-2607,690383,709315,-18932,-14501,-4431,-28067,-10575,-38642,18494,21505,15947,5558,-3011,-2687,-324,19584,-564,-19403,18838
2013-Oct,2294928,2248669,46259,50980,32826,1824,4385,11945,-4721,-1893,959,1346,-5133,751774,772366,-20592,-7927,-12665,25667,-18003,7664,11606,-15279,-23289,8010,26885,22845,4040,157944,177214,163306,13908
2013-Sep,2340349,2276391,63958,79235,51819,10068,6259,11089,-15277,-23239,4677,1882,1403,700945,732572,-31627,-24779,-6848,32331,-12102,20229,-24952,-26318,-23671,-2647,1366,-4163,5529,-101776,-106499,-109155,2656
2013-Aug,2274339,2286363,-12024,-7212,-3457,11365,-1327,-13793,-4812,-10872,8144,1003,-3087,615193,616504,-1311,11050,-12361,-13335,-14470,-27805,-9231,17469,7198,10271,-26700,-26038,-662,17259,-19777,-38498,18721
2013-Jul,2350703,2313627,37076,32109,40587,2420,-664,-10234,4967,-15889,20090,33,733,677821,693436,-15615,417,-16032,21461,-15912,5549,-21360,-21487,-21728,241,127,-1139,1266,60090,44279,41100,3179
2013-Jun,2627339,2705942,-78603,-82377,-40144,-5975,-10486,-25772,3774,-681,3892,1923,-1360,678502,667164,11338,14851,-3513,-67265,-31869,-99134,2966,7877,24989,-17112,-4911,-4845,-66,61400,-34768,-29126,-5643
2013-May,2768892,2767282,1610,-42173,-29284,-9260,6174,-9803,43783,40298,-1057,2978,1564,734961,761786,-26825,-10731,-16094,-25215,-19813,-45028,-35842,-38996,-19604,-19392,3154,993,2161,142466,61596,43451,18145
2013-Apr,2374591,2384452,-9861,-2719,-14993,6793,-4735,10216,-7142,-23781,16029,-184,794,721753,734189,-12436,4779,-17215,-22297,-18901,-41198,-28041,-17399,-12574,-4825,-10642,-10321,-321,120898,51659,73369,-21709
2013-Mar,2241959,2243916,-1957,-6576,5894,-8018,-8525,4073,4619,-17097,16675,1868,3173,683526,711229,-27703,-831,-26872,-29660,-18362,-48022,33854,33444,14970,18474,410,-920,1330,-2768,-16936,-60472,43537
2013-Feb,2313026,2302415,10611,12946,9079,-2167,8255,-2221,-2335,-6783,3743,1006,-301,624095,649207,-25112,-6109,-19003,-14501,-20557,-35058,11484,15819,7324,8495,-4335,-3763,-572,60130,36556,19757,16799
2013-Jan,2057516,2007400,50116,-12587,-21292,-963,4874,4794,62703,53050,5410,2994,1249,689836,712546,-22710,-2816,-19894,27406,-21240,6166,11304,10661,6303,4358,643,-540,1183,76112,93582,37871,55711
2012-Dec,1773389,1697680,75709,66559,21562,18865,1483,24649,9150,8366,-734,943,575,579363,590451,-11088,-6230,-4858,64621,-21471,43150,-5609,-12623,-1891,-10732,7014,5866,1148,-19675,17866,9681,8185
2012-Nov,1818113,1753373,64740,64659,28084,8015,5955,22605,81,-3512,1448,2235,-90,627619,637590,-9971,-3226,-6745,54769,-39902,14867,7848,4386,323,4063,3462,2659,803,-914,21801,27811,-6010
2012-Oct,2095329,2061737,33592,27418,6660,14971,3361,2426,6174,7116,-3034,857,1235,666402,691834,-25432,-25528,96,8160,-21425,-13265,-2201,-10280,-5912,-4368,8079,8483,-404,-50298,-65764,-73762,7998
2012-Sep,1989438,1967050,22388,7258,-22522,14223,-8610,24167,15130,2231,9807,2692,400,621457,636327,-14870,-21666,6796,7518,-21335,-13817,17148,23171,12385,10786,-6023,-5250,-773,31861,35192,10567,24625
2012-Aug,2051086,1968215,82871,52816,19687,16307,11326,5496,30055,18967,9403,1565,120,520923,509997,10926,13412,-2486,93797,-17427,76370,45958,41026,24905,16121,4932,6031,-1099,-69464,52864,4569,48295
2012-Jul,1924103,1851574,72529,47275,24525,16516,-1089,7323,25254,31855,-8016,615,800,557665,549543,8122,8885,-763,80651,-18727,61924,-10383,-11816,-4199,-7617,1433,-569,2002,30662,82203,58292,23911
2012-Jun,1998418,1988881,9537,256,10578,16620,-20763,-6179,9281,22924,-14337,-2807,3501,601440,595777,5663,11650,-5987,15200,-17524,-2324,-2020,416,-1974,2390,-2436,-220,-2216,32649,28305,30811,-2507
2012-May,2333077,2249134,83943,51483,52732,4420,-7055,1386,32460,22192,8479,651,1138,639541,632911,6630,16241,-9611,90573,-16853,73720,1257,9372,-4774,14146,-8115,-7496,-619,59247,134224,83000,51224
2012-Apr,2137141,2095639,41502,25777,27466,2032,-3708,-13,15725,19231,-6194,469,2219,614966,615192,-226,3226,-3452,41276,-32458,8818,1001,-13864,-3578,-10286,14865,15419,-554,-2935,6884,-8551,15435
2012-Mar,2222920,2200313,22607,-5660,-16545,9239,-3314,4960,28267,34025,-5373,-811,426,719351,705320,14031,17329,-3298,36638,-18685,17953,-3929,2075,6380,-4305,-6004,-5018,-986,-56487,-42463,-62379,19916
2012-Feb,2194600,2172110,22490,2119,-174,1726,-7804,8371,20371,13337,7433,699,-1098,644462,659368,-14906,-8583,-6323,7584,-13521,-5937,60092,27714,15633,12081,32378,32566,-188,48121,102276,69986,32291
2012-Jan,2055745,1953534,102211,68259,54535,11276,-806,3254,33952,33124,-135,-157,1120,592256,582340,9916,14367,-4451,112127,-16889,95238,-45845,-43289,-36508,-6781,-2556,-4595,2039,-52634,-3241,-20193,16951
2011-Dec,1651967,1669547,-17580,-8056,7164,16397,-19329,-12288,-9524,-20277,10818,-1385,1320,543369,504881,38488,28168,10320,20908,-16936,3972,-16107,-1819,19615,-21434,-14288,-10519,-3769,113780,101645,118158,-16513
2011-Nov,2121703,2057055,64648,46966,37123,11451,3549,-5157,17682,23666,-5283,1286,-1987,588115,584794,3321,1969,1352,67969,-16063,51906,33470,26287,22135,4152,7183,5602,1581,-44161,41215,12796,28419
2011-Oct,2172249,2153833,18416,22450,27503,4052,-10938,1833,-4034,-5972,658,361,919,574173,578281,-4108,-1918,-2190,14308,-14172,136,-41862,-11922,871,-12793,-29940,-23822,-6118,7163,-34563,-4685,-29878
2011-Sep,2343668,2267194,76474,39594,55944,8230,-5214,-19366,36880,38425,-1791,278,-32,575230,575266,-36,-2028,1992,76438,-12547,63891,-2038,3366,25293,-21927,-5404,-1370,-4034,13297,75150,80859,-5709
2011-Aug,3201870,3132863,69007,77603,76712,8570,-1173,-6506,-8596,-9679,-877,1974,-14,631068,642149,-11081,-7923,-3158,57926,-10563,47363,23938,28369,11104,17265,-4431,-5509,1078,29388,100689,62939,37750
2011-Jul,2099434,2075536,23898,9369,1151,6427,2251,-460,14529,14166,1354,-373,-618,590679,612592,-21913,-5974,-15939,1985,-16812,-14827,-48720,-37990,-18828,-19162,-10730,-10122,-608,-12484,-76031,-70957,-5074
2011-Jun,2574174,2581203,-7029,-16079,-9392,2148,-11784,2949,9050,11283,-2383,-694,844,698184,688895,9289,7648,1641,2260,-11547,-9287,-5322,-4831,7296,-12127,-491,-4201,3710,-8483,-23092,-27135,4043
2011-May,2481389,2427804,53585,30313,27090,-9179,4530,7872,23272,21628,647,-377,1374,648978,681205,-32227,-25831,-6396,21358,-15293,6065,-10064,-8659,-10249,1590,-1405,-55,-1350,-23302,-27301,-47644,20344
2011-Apr,2030770,1985477,45293,13752,-4387,5079,-3556,16616,31541,29556,1834,-1029,1180,639119,662666,-23547,-10420,-13127,21746,-12993,8753,-35,-10060,-16798,6738,10025,9225,800,50165,58883,7867,51016
2011-Mar,2663478,2606231,57247,46835,21877,9165,1156,14637,10412,7448,2688,354,-78,781835,825160,-43325,-29419,-13906,13922,-11984,1938,-13725,-14829,2663,-17492,1104,4131,-3027,149223,137436,138974,-1538
2011-Feb,2281075,2247625,33450,13554,17027,-6842,-3262,6631,19896,15705,5797,-1066,-540,636273,648063,-11790,1649,-13439,21660,-14867,6793,3262,-1288,5216,-6504,4550,7638,-3088,81427,91482,78136,13346
2011-Jan,2197052,2121086,75966,46325,30604,2085,-226,13862,29641,18206,9859,-508,2084,592275,619673,-27398,-8546,-18852,48568,-20725,27843,-22395,-29231,-5844,-23387,6836,4992,1844,28748,34196,37143,-2947
2010-Dec,2141232,2068466,72766,60043,39297,10499,3560,6687,12723,13748,-445,-656,76,550766,562227,-11461,-2978,-8483,61305,-20761,40544,-35710,-31563,5327,-36890,-4147,-486,-3661,54558,59392,89538,-30146
2010-Nov,2537187,2444803,92384,72074,44032,10034,3468,14540,20310,16641,3968,944,-1243,602279,610304,-8025,605,-8630,84359,-20020,64339,-42756,-22299,9804,-32103,-20457,-16608,-3849,8390,29973,50008,-20035
2010-Oct,2043423,1995061,48362,55546,24005,6986,7397,17158,-7184,-693,-5317,-214,-960,611674,630643,-18969,-9005,-9964,29393,-20750,8643,20253,16650,-10235,26885,3603,6099,-2496,-27196,1700,-25076,26776
2010-Sep,2154239,2075285,78954,69380,35761,7775,4445,21399,9574,41390,-31336,279,-759,606975,610486,-3511,1950,-5461,75443,-20998,54445,-27516,-23227,-32027,8800,-4289,-5361,1072,58686,85615,61239,24376
2010-Aug,2125005,1989496,135509,112911,87413,13282,7677,4539,22598,30599,-8223,-165,387,487664,496686,-9022,-15952,6930,126487,-28118,98369,35115,32384,18621,13763,2731,-1851,4582,-114096,19388,-21537,40925
2010-Jul,1694366,1621629,72737,68465,21934,28686,5487,12358,4272,8224,-4163,-135,346,513464,526762,-13298,-7129,-6169,59439,-17710,41729,16672,11473,-15975,27448,5199,4380,819,15921,74322,43130,31192
2010-Jun,2085038,2055534,29504,12861,20341,14636,-17460,-4656,16643,11387,4857,-31,430,583046,569557,13489,9400,4089,42993,-21428,21565,11698,12920,25444,-12524,-1222,-1144,-78,-42370,-9107,-8579,-528
2010-May,2321546,2293846,27700,19574,8844,22939,-13161,952,8126,6145,3341,-404,-956,675064,670862,4202,14194,-9992,31902,-21639,10263,-12332,-7988,23593,-31581,-4344,-4011,-333,20373,18304,45259,-26955
2010-Apr,1997998,1890846,107152,89411,62536,9658,8107,9110,17741,14650,2788,-364,667,713113,742634,-29521,-16175,-13346,77631,-20901,56731,2931,-3875,-1082,-2793,6806,1800,5006,-50354,9308,-18077,27385
2010-Mar,2308374,2152823,155551,122816,79360,18005,13689,11762,32735,28288,2564,1557,326,770784,786638,-15854,-13028,-2826,139697,-20186,119511,13074,24697,19927,4770,-11623,-14526,2903,-136161,-3576,-33996,30420
2010-Feb,1899648,1848391,51257,52416,47074,4952,-12222,12612,-1159,1128,-2366,-275,354,619049,620954,-1905,-499,-1406,49352,-6063,43289,-33006,-4922,514,-5436,-28084,-27317,-767,8583,18866,34925,-16059
2010-Jan,1708973,1672561,36412,40604,61020,-1276,-24938,5798,-4192,558,-3825,261,-1186,589920,611304,-21384,-16027,-5357,15028,-16134,-1106,-29587,-44407,-18308,-26099,14820,16088,-1268,26384,-4309,23936,-28245
2009-Dec,1757844,1675924,81920,59957,45495,3012,-7228,18678,21963,24322,-2961,-704,1306,452538,460737,-8199,-6622,-1577,73721,-13238,60483,-68767,-53753,-911,-52842,-15014,-14860,-154,74286,66002,81804,-15802
2009-Nov,1894293,1765391,128902,95606,86691,3475,-4314,9754,33296,31184,2433,-290,-31,481994,484480,-2486,-5098,2612,126416,-14055,112361,-29117,-20518,-7593,-12925,-8599,-13207,4608,-55927,27317,22686,4631
2009-Oct,1992352,1949346,43006,28383,23867,-3880,-1350,9746,14623,15043,-1478,506,552,555419,579110,-23691,-19364,-4327,19315,-12286,7030,-72561,-37907,-38597,690,-34654,-32271,-2383,42371,-23161,-50664,27504
2009-Sep,1815083,1758868,56215,45356,25719,6685,-2491,15443,10859,18966,-8312,-24,229,490228,505228,-15000,-15530,530,41215,-13587,27628,-16216,-5214,8930,-14144,-11002,-5350,-5652,76024,87436,102988,-15552
2009-Aug,1744013,1704775,39238,27611,14874,6202,-5542,12077,11627,13183,-1609,-126,179,389779,392637,-2858,10024,-12882,36380,-16133,20247,-18913,-2703,-3417,714,-16210,-9747,-6463,16847,18181,20039,-1858
2009-Jul,1649558,1603774,45784,33889,15531,2746,-9602,25214,11895,15721,-7183,-1221,4578,438483,466879,-28396,-14174,-14222,17388,-19864,-2476,-3195,13691,-21003,34694,-16886,-8346,-8540,-62085,-67756,-107248,39492
2009-Jun,2040690,1915295,125395,106956,78001,13693,-2427,17689,18439,22498,-5816,-434,2191,485250,518679,-33429,-19514,-13915,91966,-21630,70336,-37063,-9203,5071,-14274,-27860,-22815,-5045,-126124,-92851,-97858,5007
2009-May,1548283,1539016,9267,32639,-813,13741,1756,17955,-23372,-21763,-600,-937,-72,400015,426877,-26862,-16051,-10811,-17595,-19224,-36819,24694,53041,-2543,55584,-28347,-25475,-2872,-22976,-35101,-56195,21094
2009-Apr,1485350,1451205,34145,18164,24844,1130,-10801,2991,15981,17125,-3502,1436,922,381893,404590,-22697,-13769,-8928,11448,-21194,-9746,-43163,-45611,-33471,-12140,2448,-1725,4173,-7698,-60607,-71125,10518
2009-Mar,1757790,1696086,61704,35543,26215,-12933,8231,14030,26161,29026,-2733,-861,729,380302,381238,-936,-344,-592,60768,-20263,40505,28649,48595,27060,21535,-19946,-11860,-8086,-11452,57702,37021,20681
2009-Feb,1457044,1434484,22560,27619,23694,5264,2999,-4338,-5059,-1959,-3229,-5,134,314902,313376,1526,-112,1638,24086,-17137,6949,38493,68454,34195,34259,-29961,-19076,-10885,-185900,-140458,-155147,14689
2009-Jan,1337429,1346708,-9279,-720,12864,-7720,-7680,1816,-8559,-1940,-7916,335,962,350637,374443,-23806,-26920,3114,-33085,-16540,-49625,30381,-16445,-45481,29036,46826,43563,3263,-133791,-153035,-172951,19916
2008-Dec,1493240,1470189,23051,25895,10733,-24448,38149,1461,-2844,3851,-12863,3533,2635,357207,344479,12728,12243,485,35779,-10084,25695,1798,25952,-4772,30724,-24154,-6072,-18082,52869,80362,74015,6347
2008-Nov,1562044,1621320,-59276,-22158,420,-10558,-15342,3322,-37118,-26204,-11674,-873,1633,416850,385370,31480,10218,21262,-27796,-12113,-39909,50197,81776,15174,66602,-31579,-7529,-24050,68084,78372,85628,-7256
2008-Oct,2514666,2548144,-33478,-15828,34189,-33394,-13822,-2801,-17650,-1486,-16468,439,-135,651361,623274,28087,6694,21393,-5391,-14328,-19719,92793,145489,61720,83769,-52696,-14803,-37893,199864,272938,256949,15989
2008-Sep,3081762,3054076,27686,32521,15172,13174,-7289,11464,-4835,4944,-8677,-1150,48,710003,678590,31413,33885,-2472,59099,-13248,45851,17080,93582,62363,31219,-76502,-68152,-8350,22275,85206,70120,15086
2008-Aug,2163947,2169411,-5464,4759,27989,-11043,-12620,433,-10223,4848,-13146,-510,-1415,585737,565515,20222,17371,2851,14758,-12959,1799,22875,31739,18641,13098,-8864,-750,-8114,5974,30648,31208,-560
2008-Jul,2819516,2837486,-17970,-13119,23944,-25906,-4310,-6847,-4851,10068,-16160,172,1069,720370,689268,31102,14208,16894,13132,-14710,-1578,-1039,2729,-3110,5839,-3768,-10036,6268,-14936,-17553,-38267,20714
2008-Jun,2794173,2733898,60275,45399,26909,20216,583,-2309,14876,1105,9142,4102,527,689343,705484,-16141,-17808,1667,44134,-16648,27486,4281,8010,1323,6687,-3729,-5778,2049,63027,94794,68369,26425
2008-May,2599231,2496080,103151,86715,5524,14493,50754,15944,16436,-3724,11036,9088,36,677255,706422,-29167,-11061,-18106,73984,-22668,51316,3252,9211,4936,4275,-5959,6380,-12339,-99962,-45394,-61283,15889
2008-Apr,2584570,2482354,102216,60957,54294,1178,17490,-12005,41259,22298,11012,7513,436,698861,691526,7335,7580,-245,109551,-21110,88441,-14048,3851,-9904,13755,-17899,-4960,-12939,-3808,70585,41308,29277
2008-Mar,3066483,2992661,73822,25373,22992,197,-8779,10963,48449,28011,15937,4088,413,752527,756524,-3997,-1075,-2922,69825,-20341,49484,5317,29074,32123,-3049,-23757,-16508,-7249,-107045,-52244,-64567,12323
2008-Feb,2913130,2846005,67125,60384,15834,32363,14907,-2720,6741,-3594,1203,4360,4772,684021,700490,-16469,1811,-18280,50656,-18219,32437,-624,14538,18608,-4070,-15162,-9567,-5595,12554,44367,51708,-7341
2008-Jan,3132110,3058359,73751,20991,662,16352,-552,4529,52760,36101,-630,3946,13343,771368,793773,-22405,-20124,-2281,51346,-17740,33606,50796,11521,872,10649,39275,32377,6898,-47663,36739,-54423,91162
2007-Dec,2313598,2249675,63923,28143,-10557,-11339,29081,20958,35780,10980,4080,8218,12502,601133,616844,-15711,-15708,-3,48212,-13696,34516,30465,15679,4891,10788,14786,13741,1045,-26779,38202,-14872,53074
2007-Nov,2901782,2837654,64128,52363,19447,17466,11182,4268,11765,378,6007,4898,482,731675,713753,17922,8306,9616,82050,-16705,65345,37608,16023,11304,4719,21585,4433,17152,17707,120660,73951,46709
2007-Oct,2683180,2550204,132976,111157,50944,4830,25473,29910,21819,3980,10048,7437,354,811054,815092,-4038,-9063,5025,128938,-19671,109267,34190,8787,5796,2991,25403,5979,19424,-53034,90423,47251,43172
2007-Sep,2339108,2284801,54307,26028,9930,2288,11287,2523,28279,14370,9194,4631,84,560501,600879,-40378,-19080,-21298,13929,-24170,-10241,-1074,-6644,-6081,-563,5570,-2462,8032,-23895,-35210,-50805,15595
2007-Aug,3335251,3372985,-37734,-13485,25168,4292,-3940,-39005,-24249,-29685,4063,2985,-1612,826274,861422,-35148,-22359,-12789,-72882,-20520,-93402,30896,21790,17754,4036,9106,-17927,27033,-80701,-143207,-123823,-19384
2007-Jul,2473707,2448484,25223,20835,-2435,1199,3694,18377,4388,-6925,7468,1030,2815,743824,757883,-14059,830,-14889,11164,-29190,-18026,54344,18299,2944,15355,36045,35034,1011,48627,84945,44803,40142
2007-Jun,2624823,2501073,123750,95967,17870,23601,26278,28218,27783,6433,15993,3702,1655,721692,736794,-15102,-6659,-8443,108648,-20242,88406,-27053,-17695,-5957,-11738,-9358,-13844,4486,-26888,34465,465,34000
2007-May,2429804,2259692,170112,158610,27248,14251,74394,42717,11502,-4590,12793,3972,-673,735081,769441,-34360,-21773,-12587,135752,-19685,116067,-17756,-4341,1096,-5437,-13415,-13809,394,3073,101384,101203,181
2007-Apr,2028855,1931037,97818,72505,-8901,22430,30717,28259,25313,9364,13691,2911,-653,624237,638253,-14016,-11026,-2990,83802,-13121,70681,-22570,-28530,-11422,-17108,5960,10632,-4672,35970,84081,69111,14970
2007-Mar,2719330,2617437,101893,81120,29724,-960,43286,9070,20773,1377,16108,2873,415,697180,739933,-42753,-32714,-10039,59140,-17854,41286,39501,19875,6513,13362,19626,14598,5028,-31472,49315,16649,32666
2007-Feb,2047570,1962472,85098,72511,15527,678,44139,12167,12587,2172,4545,5553,317,587649,606242,-18593,-4135,-14458,66505,-20754,45751,21564,4977,4533,444,16587,15603,984,27499,94814,60288,34526
2007-Jan,1833591,1709263,124328,112344,21008,21186,47198,22952,11984,-4860,15067,2356,-579,548794,561763,-12969,-524,-12445,111359,-18913,92446,17919,1432,-3095,4527,16487,20216,-3729,-19799,90566,63579,26987
2006-Dec,1843410,1780415,62995,39032,4282,12300,33502,-11052,23963,6092,15506,2864,-499,510763,561921,-51158,-31566,-19592,11837,-16270,-4433,9104,-4340,4995,-9335,13444,7665,5779,-19368,-14697,-46111,31414
2006-Nov,1918450,1798464,119986,113893,32345,11771,60576,9201,6093,1016,3955,3220,-2098,526205,559050,-32845,-11186,-21659,87141,-25022,62119,16012,9222,1530,7692,6790,7921,-1131,11634,89765,77642,12123
2006-Oct,1869757,1763629,106128,80806,6894,8508,37894,27510,25322,18463,5260,2006,-407,498816,515644,-16828,-9006,-7822,89300,-12424,76876,410,3768,4688,-920,-3358,8022,-11380,2114,79400,85451,-6051
2006-Sep,1751036,1645600,105436,88827,-5296,17580,61159,15384,16609,7589,7872,1830,-682,417691,441422,-23731,-15153,-8578,81705,-13857,67848,-11283,-15038,-4469,-10569,3755,5336,-1581,25272,81837,70092,11745
2006-Aug,1749716,1620516,129200,100151,26424,23586,42264,7877,29049,16482,9599,2761,207,419747,423672,-3925,-10154,6229,125275,-12848,112427,5562,2252,-1756,4008,3310,11112,-7802,-6005,111984,98374,13610
2006-Jul,1571870,1507670,64200,38636,1169,5708,19088,12671,25564,9713,13108,1119,1624,381138,401187,-20049,-17501,-2548,44151,-15878,28273,25544,4197,2918,1279,21347,24024,-2677,14801,68618,36677,31941
2006-Jun,1790851,1699019,91832,85720,31847,16720,39957,-2804,6112,-3103,6286,1751,1178,458746,467057,-8311,-11028,2717,83521,-17286,66235,64353,-4808,5218,-10026,69161,63008,6153,-127228,3360,4065,-705
2006-May,2066855,1959202,107653,107346,27869,26817,39813,12847,307,-12516,9160,2493,1170,569047,595750,-26703,-18768,-7935,80950,-10216,70734,27581,-3519,-1253,-2266,31100,18747,12353,6387,104703,82377,22325
2006-Apr,1483289,1415091,68198,44554,-15934,12073,39428,8987,23644,12426,5932,1889,3397,416087,435287,-19200,-7648,-11552,48998,-14085,34913,2231,-19041,-1047,-17994,21272,17331,3941,62117,99261,89285,9976
2006-Mar,1824470,1728159,96311,94904,15715,11304,46664,21221,1407,-7031,4205,2605,1628,482045,503315,-21270,-8501,-12769,75041,-11346,63695,2313,2077,2406,-329,236,5762,-5526,31398,97406,93672,3734
2006-Feb,1621314,1516363,104951,85078,5246,27245,34087,18500,19873,14130,2815,3602,-674,435100,446637,-11537,44,-11581,93414,-9809,83605,-10575,6562,977,5585,-17137,-5966,-11171,34923,107953,91316,16637
2006-Jan,1586113,1499782,86331,67681,-4664,20220,27818,24307,18650,6378,8934,2416,922,400513,415863,-15350,-3985,-11365,70981,-15581,55400,14911,9711,1697,8014,5200,11948,-6748,161937,232248,219006,13242
2005-Dec,1223188,1148772,74416,63226,11186,8414,33306,10320,11190,5838,2804,2535,13,347373,369409,-22036,-5615,-16421,52380,-12288,40092,-5197,-17116,-4127,-12989,11919,-4272,16191,32116,67011,61206,5805
2005-Nov,1461600,1354648,106952,96862,46867,7889,36479,5627,10090,4959,3217,1818,96,345527,363283,-17756,-337,-17419,89196,-11785,77411,2515,17319,2268,15051,-14804,-10710,-4094,7930,87856,64320,23536
2005-Oct,1482801,1375150,107651,96643,24191,29596,34701,8155,11008,5973,3203,1604,228,382984,386714,-3730,2247,-5977,103921,-12777,91144,6042,5148,716,4432,894,7335,-6441,28720,125906,110586,15320
2005-Sep,1669760,1561322,108438,104683,23315,17521,41819,22028,3755,-1116,1676,2190,1005,320818,344949,-24131,-17822,-6309,84307,-15385,68922,-3087,-18534,-8499,-10035,15447,9447,6000,12692,78527,80068,-1541
2005-Aug,1430969,1350965,80004,74386,21901,16187,34737,1561,5618,3662,-411,2026,341,311874,312253,-379,16604,-16983,79625,-15207,64418,-5495,1164,-1085,2249,-6659,-3519,-3140,-11609,47314,40512,6802
2005-Jul,1286950,1192482,94468,83904,23607,30523,21999,7775,10564,5064,4165,1392,-57,271576,289263,-17687,-8879,-8808,76781,-14120,62661,-15543,-7018,-5261,-1757,-8525,812,-9337,15990,63108,55963,7145
2005-Jun,1523661,1431155,92506,68710,2076,15591,47886,3157,23796,17597,3052,2609,538,305916,323449,-17533,-5038,-12495,74973,-12941,62032,-46341,-29513,-5464,-24049,-16828,-14795,-2033,-36800,-21109,-28241,7132
2005-May,1494716,1451858,42858,29241,-6302,17546,17568,429,13617,7925,3898,1842,-48,285369,301369,-16000,-11269,-4731,26858,-10747,16111,8076,-637,507,-1144,8713,1451,7262,27445,51632,44681,6951
2005-Apr,1407286,1348646,58640,47663,16535,8506,17762,4860,10977,13174,-1536,64,-725,284927,293641,-8714,-6199,-2515,49926,-13062,36864,21033,-980,4760,-5740,22013,8592,13421,-33721,24176,-12667,36843
2005-Mar,1524677,1459445,65232,78514,48390,6188,21240,2696,-13282,-14227,1316,-422,51,324790,346568,-21778,-6695,-15083,43454,-10929,32525,-8445,3561,2951,610,-12006,-13296,1290,60155,84235,90305,-6070
2005-Feb,1364740,1273353,91387,73076,32326,10584,28930,1236,18311,12219,3932,2106,54,275612,291089,-15477,-381,-15096,75910,-5192,70718,6425,-4651,2364,-7015,11076,22665,-11589,-4661,72482,82248,-9766
2005-Jan,1287113,1198125,88988,74219,25331,19082,16654,13152,14769,7621,6313,1377,-542,243220,250390,-7170,-1711,-5459,81818,-8523,73295,-7561,-7683,-4734,-2949,122,6860,-6738,-81899,-16165,-26662,10497
2004-Dec,1308477,1224629,83848,73585,1378,25582,39313,7312,10263,6976,1025,1635,627,262524,284902,-22378,-8293,-14085,61470,-7789,53681,-2244,-5706,5995,-11701,3462,-9901,13363,30969,82406,60264,22142
2004-Nov,1405663,1304212,101451,73496,12673,24311,24298,12214,27955,21049,3487,1891,1528,274212,285986,-11774,-3997,-7777,89677,40671,130348,-11987,164,3617,-3453,-12151,-6745,-5406,61298,179659,164334,15325
2004-Oct,1193809,1130025,63784,48919,3554,22866,18853,3646,14865,15649,-928,887,-743,254868,270664,-15796,-5594,-10202,47988,-6281,41707,16256,-1029,-897,-132,17285,-1504,18789,11415,69378,37500,31878
2004-Sep,1250695,1183518,67177,52636,6165,5980,43824,-3333,14541,10874,2446,1234,-13,228176,258080,-29904,-25409,-4495,37273,-6323,30950,2800,7370,1165,6205,-4570,-607,-3963,-22065,11685,-15021,26706
2004-Aug,1207146,1153806,53340,34038,-2120,14923,23656,-2421,19302,15515,2568,1107,112,233685,242053,-8368,-7578,-790,44972,-6820,38152,18125,4756,2435,2321,13369,9565,3804,19181,75458,63239,12219
2004-Jul,1202863,1135014,67849,58476,6716,16761,27686,7313,9373,5935,2511,819,108,234657,253537,-18880,-9764,-9116,48969,-7260,41709,17897,3851,754,3097,14046,9311,4735,-7519,52087,31826,20261
2004-Jun,1233569,1143270,90299,74539,29012,14748,26588,4191,15760,16335,-923,801,-453,250076,259405,-9329,-1071,-8258,80970,-7060,73910,101982,31243,15514,15729,70739,57861,12878,7624,183516,118853,64663
2004-May,1312229,1249365,62864,56089,20776,21025,19963,-5675,6775,7866,-1811,548,172,252603,260356,-7753,-1298,-6455,55111,-9239,45872,2358,3912,-4365,8277,-1554,-1329,-225,19378,67608,60808,6800
2004-Apr,1375483,1279556,95927,69776,27669,24337,18388,-618,26151,22691,1760,606,1094,260671,264494,-3823,6030,-9853,92104,-11632,80472,-8224,-9121,-2084,-7037,897,8998,-8101,-10058,62190,48298,13892
2004-Mar,1393455,1326107,67348,29391,17648,-3410,25235,-10082,37957,33567,2786,1274,330,329508,326732,2776,841,1935,70124,-6652,63472,23848,9504,3224,6280,14344,10346,3998,-46483,40837,-8518,49355
